,Event_Name,Tweet_Timestamp,Hour,Day,Count
145,AZ election campaign,11/23/2022 13:00,13,11/23/2022,1
146,AZ election campaign,11/23/2022 14:00,14,11/23/2022,0
147,AZ election campaign,11/23/2022 15:00,15,11/23/2022,0
148,AZ election campaign,11/23/2022 16:00,16,11/23/2022,0
149,AZ election campaign,11/23/2022 17:00,17,11/23/2022,0
150,AZ election campaign,11/23/2022 18:00,18,11/23/2022,0
151,AZ election campaign,11/23/2022 19:00,19,11/23/2022,0
152,AZ election campaign,11/23/2022 20:00,20,11/23/2022,0
153,AZ election campaign,11/23/2022 21:00,21,11/23/2022,0
154,AZ election campaign,11/23/2022 22:00,22,11/23/2022,0
155,AZ election campaign,11/23/2022 23:00,23,11/23/2022,0
156,AZ election campaign,11/24/2022 0:00,0,11/24/2022,0
157,AZ election campaign,11/24/2022 1:00,1,11/24/2022,0
158,AZ election campaign,11/24/2022 2:00,2,11/24/2022,0
159,AZ election campaign,11/24/2022 3:00,3,11/24/2022,0
160,AZ election campaign,11/24/2022 4:00,4,11/24/2022,0
161,AZ election campaign,11/24/2022 5:00,5,11/24/2022,0
162,AZ election campaign,11/24/2022 6:00,6,11/24/2022,0
163,AZ election campaign,11/24/2022 7:00,7,11/24/2022,0
164,AZ election campaign,11/24/2022 8:00,8,11/24/2022,0
165,AZ election campaign,11/24/2022 9:00,9,11/24/2022,0
166,AZ election campaign,11/24/2022 10:00,10,11/24/2022,0
167,AZ election campaign,11/24/2022 11:00,11,11/24/2022,0
168,AZ election campaign,11/24/2022 12:00,12,11/24/2022,0
169,AZ election campaign,11/24/2022 13:00,13,11/24/2022,1
170,AZ election campaign,11/24/2022 14:00,14,11/24/2022,0
171,AZ election campaign,11/24/2022 15:00,15,11/24/2022,0
172,AZ election campaign,11/24/2022 16:00,16,11/24/2022,0
173,AZ election campaign,11/24/2022 17:00,17,11/24/2022,0
174,AZ election campaign,11/24/2022 18:00,18,11/24/2022,0
175,AZ election campaign,11/24/2022 19:00,19,11/24/2022,0
176,AZ election campaign,11/24/2022 20:00,20,11/24/2022,0
177,AZ election campaign,11/24/2022 21:00,21,11/24/2022,0
178,AZ election campaign,11/24/2022 22:00,22,11/24/2022,0
179,AZ election campaign,11/24/2022 23:00,23,11/24/2022,0
180,AZ election campaign,11/25/2022 0:00,0,11/25/2022,0
181,AZ election campaign,11/25/2022 1:00,1,11/25/2022,0
182,AZ election campaign,11/25/2022 2:00,2,11/25/2022,0
183,AZ election campaign,11/25/2022 3:00,3,11/25/2022,0
184,AZ election campaign,11/25/2022 4:00,4,11/25/2022,0
185,AZ election campaign,11/25/2022 5:00,5,11/25/2022,0
186,AZ election campaign,11/25/2022 6:00,6,11/25/2022,0
187,AZ election campaign,11/25/2022 7:00,7,11/25/2022,0
188,AZ election campaign,11/25/2022 8:00,8,11/25/2022,0
189,AZ election campaign,11/25/2022 9:00,9,11/25/2022,0
190,AZ election campaign,11/25/2022 10:00,10,11/25/2022,0
191,AZ election campaign,11/25/2022 11:00,11,11/25/2022,0
192,AZ election campaign,11/25/2022 12:00,12,11/25/2022,0
193,AZ election campaign,11/25/2022 13:00,13,11/25/2022,1
194,AZ election campaign,11/25/2022 14:00,14,11/25/2022,0
195,AZ election campaign,11/25/2022 15:00,15,11/25/2022,0
196,AZ election campaign,11/25/2022 16:00,16,11/25/2022,0
197,AZ election campaign,11/25/2022 17:00,17,11/25/2022,0
198,AZ election campaign,11/25/2022 18:00,18,11/25/2022,0
199,AZ election campaign,11/25/2022 19:00,19,11/25/2022,0
200,AZ election campaign,11/25/2022 20:00,20,11/25/2022,0
201,AZ election campaign,11/25/2022 21:00,21,11/25/2022,0
202,AZ election campaign,11/25/2022 22:00,22,11/25/2022,0
203,AZ election campaign,11/25/2022 23:00,23,11/25/2022,0
204,AZ election campaign,11/26/2022 0:00,0,11/26/2022,0
205,AZ election campaign,11/26/2022 1:00,1,11/26/2022,0
206,AZ election campaign,11/26/2022 2:00,2,11/26/2022,0
207,AZ election campaign,11/26/2022 3:00,3,11/26/2022,0
208,AZ election campaign,11/26/2022 4:00,4,11/26/2022,0
209,AZ election campaign,11/26/2022 5:00,5,11/26/2022,0
210,AZ election campaign,11/26/2022 6:00,6,11/26/2022,0
211,AZ election campaign,11/26/2022 7:00,7,11/26/2022,0
212,AZ election campaign,11/26/2022 8:00,8,11/26/2022,0
213,AZ election campaign,11/26/2022 9:00,9,11/26/2022,0
214,AZ election campaign,11/26/2022 10:00,10,11/26/2022,0
215,AZ election campaign,11/26/2022 11:00,11,11/26/2022,0
216,AZ election campaign,11/26/2022 12:00,12,11/26/2022,0
217,AZ election campaign,11/26/2022 13:00,13,11/26/2022,1
218,All Saint's Day,10/28/2022 15:00,15,10/28/2022,1
219,Arizona Weather forecast,11/18/2022 13:00,13,11/18/2022,1
220,BMS Talk,10/29/2022 6:00,6,10/29/2022,1
221,BTS,11/1/2022 12:00,12,11/1/2022,1
222,Bieber Concert,10/20/2022 15:00,15,10/20/2022,1
223,Boxing Day,10/25/2022 5:00,5,10/25/2022,1
224,Boxing Day,10/25/2022 6:00,6,10/25/2022,0
225,Boxing Day,10/25/2022 7:00,7,10/25/2022,0
226,Boxing Day,10/25/2022 8:00,8,10/25/2022,0
227,Boxing Day,10/25/2022 9:00,9,10/25/2022,0
228,Boxing Day,10/25/2022 10:00,10,10/25/2022,0
229,Boxing Day,10/25/2022 11:00,11,10/25/2022,0
230,Boxing Day,10/25/2022 12:00,12,10/25/2022,0
231,Boxing Day,10/25/2022 13:00,13,10/25/2022,0
232,Boxing Day,10/25/2022 14:00,14,10/25/2022,0
233,Boxing Day,10/25/2022 15:00,15,10/25/2022,0
234,Boxing Day,10/25/2022 16:00,16,10/25/2022,0
235,Boxing Day,10/25/2022 17:00,17,10/25/2022,0
236,Boxing Day,10/25/2022 18:00,18,10/25/2022,0
237,Boxing Day,10/25/2022 19:00,19,10/25/2022,0
238,Boxing Day,10/25/2022 20:00,20,10/25/2022,0
239,Boxing Day,10/25/2022 21:00,21,10/25/2022,0
240,Boxing Day,10/25/2022 22:00,22,10/25/2022,0
241,Boxing Day,10/25/2022 23:00,23,10/25/2022,0
242,Boxing Day,10/26/2022 0:00,0,10/26/2022,0
243,Boxing Day,10/26/2022 1:00,1,10/26/2022,0
244,Boxing Day,10/26/2022 2:00,2,10/26/2022,0
245,Boxing Day,10/26/2022 3:00,3,10/26/2022,0
246,Boxing Day,10/26/2022 4:00,4,10/26/2022,0
247,Boxing Day,10/26/2022 5:00,5,10/26/2022,0
248,Boxing Day,10/26/2022 6:00,6,10/26/2022,0
249,Boxing Day,10/26/2022 7:00,7,10/26/2022,0
250,Boxing Day,10/26/2022 8:00,8,10/26/2022,0
251,Boxing Day,10/26/2022 9:00,9,10/26/2022,0
252,Boxing Day,10/26/2022 10:00,10,10/26/2022,0
253,Boxing Day,10/26/2022 11:00,11,10/26/2022,0
254,Boxing Day,10/26/2022 12:00,12,10/26/2022,0
